Name,Degrees,Intervals
half diminished,1 2 ♭3 4 ♭5 ♭6 ♭7,W-H-W-H-W-W-W
major,1 2 3 4 5 6 7,W-W-H-W-W-W-H
harmonic major,1 2 3 4 5 ♭6 7,W-W-H-W-H-3H-H
harmonic minor,1 2 ♭3 4 5 ♭6 (♮)7,W-H-W-W-H-3H-H
hirajoshi,1 3 ♯4 5 7,2W-W-H-2W-H
hungarian,1 2 ♭3 ♯4 5 ♭6 7,W-H-3H-H-H-3H-H
hungarian minor,1 2 ♭3 ♯4 5 ♭6 7,W-H-3H-H-H-3H-H
in,1 ♭2 4 5 ♭6,H-2W-W-H-2W
insen,1 ♭2 4 5 ♭7,H-2W-W-2W-W
ionian,1 2 3 4 5 6 7,W-W-H-W-W-W-H
locrian,1 ♭2 ♭3 4 ♭5 ♭6 ♭7,H-W-W-H-W-W-W
lydian augmented,1 2 3 ♯4 ♯5 6 7,W-W-W-W-H-W-H
lydian,1 2 3 ♯4 5 6 7,W-W-W-H-W-W-H
major locrian,1 2 3 4 ♭5 ♭6 ♭7,W-W-H-H-W-W-W
major pentatonic,1 2 3 5 6,W-W-3H-W-3H
melodic minor,1 2 ♭3 4 5 6 7,W-H-W-W-W-W-H
minor pentatonic,1 ♭3 4 5 ♭7,3H-W-W-3H-W
mixolydian,1 2 3 4 5 6 ♭7,W-W-H-W-W-H-W
