Key,Pitch,Frequency
108,B8,7902.13
107,A♯8/B♭8,7458.62
106,A8,7040
105,G♯8/A♭8,6644.88
104,G8,6271.93
103,F♯8/G♭8,5919.91
102,F8,5587.65
101,E8,5274.04
100,D♯8/E♭8,4978.03
99,D8,4698.64
98,C♯8/D♭8,4434.92
97,C8,4186.01
96,B7,3951.07
95,A♯7/B♭7,3729.31
94,A7,3520
93,G♯7/A♭7,3322.44
92,G7,3135.96
91,F♯7/G♭7,2959.96
90,F7,2793.83
89,E7,2637.02
88,D♯7/E♭7,2489.02
87,D7,2349.32
86,C♯7/D♭7,2217.46
85,C7,2093
84,B6,1975.53
83,A♯6/B♭6,1864.66
82,A6,1760
81,G♯6/A♭6,1661.22
80,G6,1567.98
79,F♯6/G♭6,1479.98
78,F6,1396.91
77,E6,1318.51
76,D♯6/E♭6,1244.51
75,D6,1174.66
74,C♯6/D♭6,1108.73
73,C6,1046.5
72,B5,987.767
71,A♯5/B♭5,932.328
70,A5,880
69,G♯5/A♭5,830.609
68,G5,783.991
67,F♯5/G♭5,739.989
66,F5,698.456
65,E5,659.255
64,D♯5/E♭5,622.254
63,D5,587.33
62,C♯5/D♭5,554.365
61,C5,523.251
60,B4,493.883
59,A♯4/B♭4,466.164
58,A4,440
57,G♯4/A♭4,415.305
56,G4,391.995
55,F♯4/G♭4,369.994
54,F4,349.228
53,E4,329.628
52,D♯4/E♭4,311.127
51,D4,293.665
50,C♯4/D♭4,277.183
49,C4,261.626
48,B3,246.942
47,A♯3/B♭3,233.082
46,A3,220
45,G♯3/A♭3,207.652
44,G3,195.998
43,F♯3/G♭3,184.997
42,F3,174.614
41,E3,164.814
40,D♯3/E♭3,155.563
39,D3,146.832
38,C♯3/D♭3,138.591
37,C3,130.813
36,B2,123.471
35,A♯2/B♭2,116.541
34,A2,110
33,G♯2/A♭2,103.826
32,G2,97.9989
31,F♯2/G♭2,92.4986
30,F2,87.3071
29,E2,82.4069
28,D♯2/E♭2,77.7817
27,D2,73.4162
26,C♯2/D♭2,69.2957
25,C2 Deep C,65.4064
24,B1,61.7354
23,A♯1/B♭1,58.2705
22,A1,55
21,G♯1/A♭1,51.9131
20,G1,48.9994
19,F♯1/G♭1,46.2493
18,F1,43.6535
17,E1,41.2034
16,D♯1/E♭1,38.8909
15,D1,36.7081
14,C♯1/D♭1,34.6478
13,C1,32.7032
12,B0,30.8677
11,A♯0/B♭0,29.1352
10,A0,27.5
9,G♯0/A♭0,25.9565
8,G0,24.4997
7,F♯0/G♭0,23.1247
6,F0,21.8268
5,E0,20.6017
4,D♯0/E♭0,19.4454
3,D0,18.354
2,C♯0/D♭0,17.3239
1,C0,16.3516
